Date,AVO,CDZI,CWT,FPI,ZC=F
2023-11-27,8.869999885559082,2.819999933242798,49.806217193603516,10.97430419921875,455.5
2023-11-28,8.470000267028809,2.759999990463257,49.45416259765625,10.96561336517334,451.5
2023-11-29,8.619999885559082,2.859999895095825,49.03364562988281,10.913480758666992,449.75
2023-11-30,8.460000038146973,2.7300000190734863,49.45416259765625,10.757076263427734,461.75
2023-12-01,8.680000305175781,3.009999990463257,50.549442291259766,10.956925392150879,464.5
2023-12-04,9.100000381469727,3.0,51.879432678222656,11.035126686096191,460.25
2023-12-05,9.109999656677246,3.1700000762939453,51.66429138183594,10.87872314453125,468.5
2023-12-06,9.199999809265137,3.0799999237060547,51.566497802734375,10.82658863067627,464.75
2023-12-07,9.289999961853027,3.2100000381469727,51.586055755615234,10.817898750305176,468.25
2023-12-08,9.350000381469727,3.2799999713897705,51.175323486328125,10.861345291137695,465.75
2023-12-11,9.289999961853027,3.109999895095825,51.341575622558594,10.896100997924805,460.5
2023-12-12,9.199999809265137,3.119999885559082,51.390464782714844,10.896100997924805,462.5
2023-12-13,9.649999618530273,3.2799999713897705,52.720462799072266,11.174152374267578,456.75
2023-12-14,9.289999961853027,3.3299999237060547,52.6324462890625,11.11332893371582,456.75
2023-12-15,9.210000038146973,3.0999999046325684,51.47848129272461,11.261042594909668,483.0
2023-12-18,9.260000228881836,3.2200000286102295,51.09709167480469,11.035126686096191,477.0
2023-12-19,9.329999923706055,3.319999933242798,52.40752029418945,11.226285934448242,472.75
2023-12-20,9.239999771118164,2.940000057220459,51.05796813964844,11.01774787902832,469.75
2023-12-21,9.569999694824219,3.119999885559082,50.979740142822266,10.948236465454102,472.5
2023-12-22,10.199999809265137,3.1500000953674316,51.136207580566406,11.087263107299805,473.0
2023-12-26,10.550000190734863,3.1600000858306885,51.390464782714844,11.29580020904541,480.25
2023-12-27,10.449999809265137,3.130000114440918,51.194881439208984,11.287109375,476.5
2023-12-28,10.260000228881836,2.890000104904175,51.35135269165039,11.428418159484863,474.25
2023-12-29,10.09000015258789,2.799999952316284,50.72547149658203,11.073498725891113,471.25
2024-01-02,10.350000381469727,2.9000000953674316,50.745033264160156,10.896039009094238,463.75
2024-01-03,10.180000305175781,2.7799999713897705,50.09959030151367,10.727452278137207,465.25
2024-01-04,10.149999618530273,2.869999885559082,48.93585205078125,10.647595405578613,466.5
2024-01-05,10.020000457763672,2.869999885559082,48.085044860839844,10.541119575500488,460.75
2024-01-08,10.119999885559082,2.9100000858306885,48.49577713012695,10.514501571655273,455.0
2024-01-09,9.84000015258789,2.9000000953674316,48.14372634887695,10.05310344696045,459.25
2024-01-10,9.9399995803833,2.9600000381469727,48.60335159301758,10.044231414794922,459.5
2024-01-11,9.960000038146973,2.7200000286102295,47.26358413696289,10.07085132598877,457.75
2024-01-12,10.119999885559082,2.799999952316284,47.63520050048828,10.07085132598877,447.0
2024-01-16,9.859999656677246,2.7300000190734863,46.852848052978516,9.982120513916016,443.5
2024-01-17,9.720000267028809,2.7300000190734863,46.080284118652344,9.964374542236328,442.25
2024-01-18,10.09000015258789,2.4700000286102295,46.53013610839844,9.99986743927002,444.0
2024-01-19,10.0600004196167,2.5799999237060547,46.256309509277344,10.15958023071289,445.5
2024-01-22,10.199999809265137,2.740000009536743,46.70616149902344,10.345913887023926,445.75
2024-01-23,10.289999961853027,2.7100000381469727,46.20741271972656,10.390278816223145,446.5
2024-01-24,10.114999771118164,2.640000104904175,44.339561462402344,10.345913887023926,452.25
2024-01-25,10.210000038146973,2.75,44.80896759033203,10.2394380569458,451.75
2024-01-26,10.220000267028809,2.75,44.37867736816406,10.13296127319336,446.25
2024-01-29,10.359999656677246,2.759999990463257,44.848087310791016,10.106343269348145,440.25
2024-01-30,10.210000038146973,2.740000009536743,44.75028991699219,10.124089241027832,447.75
2024-01-31,9.989999771118164,2.7100000381469727,44.27110290527344,9.9555025100708,448.25
2024-02-01,10.09000015258789,2.7300000190734863,44.916542053222656,9.99986743927002,447.25
2024-02-02,10.220000267028809,2.7200000286102295,44.53514862060547,9.77804183959961,442.75
2024-02-05,10.039999961853027,2.609999895095825,44.09507751464844,9.795787811279297,442.75
2024-02-06,10.210000038146973,2.6500000953674316,45.1512451171875,9.698184967041016,438.75
2024-02-07,10.289999961853027,2.680000066757202,45.209922790527344,9.73367691040039,434.25
2024-02-08,10.390000343322754,2.640000104904175,45.63043212890625,9.964374542236328,433.25
2024-02-09,10.5600004196167,2.7300000190734863,46.23057556152344,10.01761245727539,429.0
2024-02-12,10.699999809265137,2.75,47.04716110229492,10.13296127319336,430.5
2024-02-13,10.149999618530273,2.630000114440918,45.1778678894043,9.73367691040039,430.75
2024-02-14,10.329999923706055,2.759999990463257,45.16802978515625,9.822406768798828,424.25
2024-02-15,10.680000305175781,2.880000114440918,46.673301696777344,10.248310089111328,417.75
2024-02-16,10.479999542236328,2.890000104904175,46.752010345458984,10.230565071105957,416.5
2024-02-20,10.600000381469727,2.9200000762939453,46.85039520263672,9.99099349975586,418.75
2024-02-21,10.489999771118164,3.009999990463257,46.60443115234375,9.902262687683105,411.0
2024-02-22,10.470000267028809,2.9100000858306885,45.97478103637695,9.840152740478516,406.0
2024-02-23,10.5600004196167,2.890000104904175,45.354957580566406,9.831279754638672,399.75
2024-02-26,10.510000228881836,2.9000000953674316,44.705623626708984,9.769168853759766,407.0
2024-02-27,10.550000190734863,2.9100000858306885,45.20738220214844,9.73367691040039,408.25
2024-02-28,10.489999771118164,2.8499999046325684,45.1778678894043,9.715930938720703,413.25
