Date,Mean GWE,AVO,CDZI,CWT,FPI,ZC=F,FPI_lag_1,FPI_lag_7,FPI_lag_30,CDZI_lag_1,CDZI_lag_7,CDZI_lag_30,FPI_mean_7,FPI_std_7,FPI_min_7,FPI_max_7,FPI_median_7,FPI_skew_7,FPI_kurt_7,FPI_mean_14,FPI_std_14,FPI_min_14,FPI_max_14,FPI_median_14,FPI_skew_14,FPI_kurt_14,FPI_mean_30,FPI_std_30,FPI_min_30,FPI_max_30,FPI_median_30,FPI_skew_30,FPI_kurt_30,FPI_mean_60,FPI_std_60,FPI_min_60,FPI_max_60,FPI_median_60,CDZI_mean_7,CDZI_std_7,CDZI_min_7,CDZI_max_7,CDZI_median_7,CDZI_skew_7,CDZI_kurt_7,CDZI_mean_14,CDZI_std_14,CDZI_min_14,CDZI_max_14,CDZI_median_14,CDZI_skew_14,CDZI_kurt_14,CDZI_mean_30,CDZI_std_30,CDZI_min_30,CDZI_max_30,CDZI_median_30,CDZI_skew_30,CDZI_kurt_30,CDZI_mean_60,CDZI_std_60,CDZI_min_60,CDZI_max_60,CDZI_median_60,FPI_roc_7,FPI_roc_14,FPI_roc_30,CDZI_roc_7,CDZI_roc_14,CDZI_roc_30,Mean GWE_sin_7_1,Mean GWE_cos_7_1,Mean GWE_sin_7_2,Mean GWE_cos_7_2,Mean GWE_sin_30_1,Mean GWE_cos_30_1,Mean GWE_sin_30_2,Mean GWE_cos_30_2,Mean GWE_sin_90_1,Mean GWE_cos_90_1,Mean GWE_sin_90_2,Mean GWE_cos_90_2,Mean GWE_sin_365_1,Mean GWE_cos_365_1,Mean GWE_sin_365_2,Mean GWE_cos_365_2,day_of_week,month,quarter,day_of_year,is_month_start,is_month_end,GWE_above_avg,GWE_trend,FPI_GWE_ratio,FPI_GWE_diff,CDZI_GWE_ratio,CDZI_GWE_diff
2024-02-22,576.5711409295352,10.470000267028809,2.9100000858306885,45.97478103637695,9.840152740478516,406.0,9.902262687683104,10.13296127319336,10.05310344696045,3.009999990463257,2.75,2.9000000953674316,9.966909681047712,0.1870086160637228,9.73367691040039,10.248310089111328,9.902262687683104,0.6402294107580514,-1.2585035043050894,9.920643397739955,0.17658510181194578,9.698184967041016,10.248310089111328,9.87120771408081,0.662982973985612,-0.73864440131698,10.027373091379802,0.18588669289170154,9.698184967041016,10.390278816223145,10.008739948272705,0.08164613619215567,-0.6348268209098564,10.482138315836588,0.5099258253240216,9.698184967041016,11.428418159484863,10.368096351623535,2.857142925262451,0.1151041980625703,2.630000114440918,3.009999990463257,2.890000104904175,-1.046732278570598,1.088107577030729,2.7700000490461076,0.12403917234007272,2.609999895095825,3.009999990463257,2.740000009536743,0.4758962342252196,-1.0910317052169471,2.74333336353302,0.11420255710377608,2.4700000286102295,3.009999990463257,2.7300000190734863,0.31096041934770086,0.6069882844559928,2.8853333433469137,0.2057139203659575,2.4700000286102295,3.3299999237060547,2.8649998903274536,-0.02889663986868929,-0.015971681600927545,-0.021182583826521717,0.05818184939297755,0.06593408992659677,0.0034482724601392345,0.43388373911755995,-0.9009688679024183,-0.7818314824680324,0.6234898018587303,-0.20791169081775923,0.9781476007338057,-0.4067366430758,0.913545457642601,-0.8290375725550414,-0.5591929034707472,0.9271838545667878,-0.374606593415911,0.8498170915275278,0.5270777086423722,0.895839290734909,-0.4443781781046132,3,2,1,53,0,0,1,-1,0.017066675804505996,-566.7309881890567,0.0050470789799490325,-573.6611408437045
2024-02-23,494.7338669796557,10.5600004196167,2.890000104904175,45.354957580566406,9.831279754638672,399.75,9.840152740478516,9.73367691040039,10.044231414794922,2.9100000858306885,2.630000114440918,2.9600000381469727,9.980852944510323,0.1721471989882343,9.822406768798828,10.248310089111328,9.902262687683104,0.8750687785362443,-1.2749410198494626,9.924446105957031,0.17402799089604476,9.698184967041016,10.248310089111328,9.87120771408081,0.6522393666014485,-0.6716307144014668,10.020274702707926,0.18914479971882248,9.698184967041016,10.390278816223145,9.99986743927002,0.15700318197436286,-0.7539324319974914,10.463087908426921,0.5125276475227767,9.698184967041016,11.428418159484863,10.345913887023926,2.8942857810429166,0.0682133527762024,2.759999990463257,3.009999990463257,2.890000104904175,-0.49839758334966244,2.597061455664962,2.7821429116385326,0.12683953632234807,2.609999895095825,3.009999990463257,2.7549999952316284,0.19411799334998464,-1.4230043844061342,2.741000032424927,0.11040381539083421,2.4700000286102295,3.009999990463257,2.7300000190734863,0.22789752053127882,0.7325643467909351,2.8865000128746034,0.205538507302982,2.4700000286102295,3.3299999237060547,2.869999885559082,0.010027335521481495,0.005444639725661338,-0.021201389271316207,0.09885930766148543,0.06250002739184013,-0.02364862579076832,-0.43388373911754985,-0.9009688679024231,0.7818314824680184,0.6234898018587479,-2.266215559059192e-15,1.0,-4.532431118118384e-15,1.0,-0.8660254037844384,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,0.8587639582758029,0.5123714121284237,0.8800122039735357,-0.47495107206704995,4,2,1,54,0,0,0,-1,0.01987185517469931,-484.90258722501704,0.005841524702053632,-491.84386687475154
2024-02-26,596.8890776545165,10.510000228881836,2.9000000953674316,44.705623626708984,9.769168853759766,407.0,9.831279754638672,9.822406768798828,10.07085132598877,2.890000104904175,2.759999990463257,2.7200000286102295,9.973247528076172,0.17997725015036026,9.769168853759766,10.248310089111328,9.902262687683104,0.7552319609448466,-1.2864558978664666,9.922544751848493,0.17556192208585134,9.698184967041016,10.248310089111328,9.87120771408081,0.6478648087382868,-0.7109735771859311,10.010218620300293,0.19414213578132344,9.698184967041016,10.390278816223145,9.99543046951294,0.23242912486788395,-0.8638653022881946,10.443147166570027,0.515852194546682,9.698184967041016,11.428418159484863,10.297111988067627,2.914285796029227,0.04100767544744535,2.880000114440918,3.009999990463257,2.9000000953674316,2.1617766961754805,5.032656235271986,2.802857211657933,0.1205599134101642,2.630000114440918,3.009999990463257,2.8200000524520874,-0.05034000787155711,-1.438223542233842,2.7470000346501666,0.11393420508346307,2.4700000286102295,3.009999990463257,2.7350000143051147,0.13643804286469804,0.34915023942565737,2.8888333479563397,0.20488281237743775,2.4700000286102295,3.3299999237060547,2.875,-0.005420047885633772,-0.002717388129710341,-0.02995600495565698,0.050724675865189583,0.11111119230943856,0.06617649443524898,-0.9749279121818232,-0.22252093395631647,0.43388373911756195,-0.9009688679024173,0.20791169081775826,0.9781476007338059,0.4067366430757982,0.9135454576426018,-0.8987940462991668,-0.43837114678907774,0.7880107536067223,-0.6156614753256577,0.8674563547295968,0.49751328890718066,0.8631421280499114,-0.5049610547215204,0,2,1,57,0,0,1,1,0.016366807870145394,-587.1199088007568,0.004858524312026315,-593.9890775591491
2024-02-27,490.0683377581121,10.550000190734863,2.9100000858306885,45.20738220214844,9.73367691040039,408.25,9.769168853759766,10.248310089111328,10.07085132598877,2.9000000953674316,2.880000114440918,2.799999952316284,9.899728502546038,0.15613273316903423,9.73367691040039,10.230565071105955,9.840152740478516,1.441714910168775,2.1780431024111246,9.925079890659877,0.17253397394260925,9.73367691040039,10.248310089111328,9.87120771408081,0.7042588969708273,-0.6919146231394446,9.998979473114014,0.19997870770018036,9.698184967041016,10.390278816223145,9.986557006835938,0.2966304471557767,-0.9428810114467754,10.423483769098917,0.5200183426515811,9.698184967041016,11.428418159484863,10.243874073028564,2.918571506227766,0.03870344075847044,2.890000104904175,3.009999990463257,2.9100000858306885,2.267461973183593,5.500266539954925,2.8214286395481656,0.11550245034863041,2.630000114440918,3.009999990463257,2.8850001096725464,-0.35398250202793896,-1.1654702027149164,2.7506667057673138,0.11730114857917585,2.4700000286102295,3.009999990463257,2.7350000143051147,0.11718552162772702,0.066402062403069,2.889666684468587,0.20486552517302356,2.4700000286102295,3.3299999237060547,2.8850001096725464,-0.050216394140701004,0.0036596480145505428,-0.03348022969202902,0.010416656318638529,0.09811320041752936,0.03928576263846262,-0.7818314824680311,0.6234898018587318,-0.9749279121818226,-0.22252093395631864,0.40673664307579865,0.9135454576426015,0.743144825477392,0.6691306063588608,-0.9271838545667873,-0.3746065934159123,0.6946583704589977,-0.7193398003386507,0.8758917051442429,0.48250774176121847,0.8452490573530633,-0.5343725582809787,1,2,1,58,0,0,0,-1,0.019861876723006617,-480.3346608477117,0.005937947550627125,-487.1583376722814
2024-02-28,493.1983231441049,10.489999771118164,2.8499999046325684,45.1778678894043,9.715930938720703,413.25,9.73367691040039,10.230565071105955,9.982120513916016,2.9100000858306885,2.890000104904175,2.7300000190734863,9.826209340776716,0.09034477762487012,9.715930938720703,9.99099349975586,9.831279754638672,0.6524232068165594,-0.2401451529416887,9.923812321254186,0.17399451947367925,9.715930938720703,10.248310089111328,9.87120771408081,0.6786682350088374,-0.7050279952981966,9.99010648727417,0.20633426424037968,9.698184967041016,10.390278816223145,9.977684020996094,0.3154128660020501,-1.0361265914586526,10.406131347020468,0.5259344899641368,9.698184967041016,11.428418159484863,10.235001564025879,2.9128571919032504,0.04494895539887803,2.8499999046325684,3.009999990463257,2.9100000858306885,1.334688003828561,3.416195708985441,2.8335714851106917,0.10873342853096842,2.630000114440918,3.009999990463257,2.8850001096725464,-0.6243429950428933,-0.48022288784805944,2.7546667019526163,0.1185673869034324,2.4700000286102295,3.009999990463257,2.740000009536743,0.027649332217321045,-0.06952797472683603,2.8916666825612385,0.2038803985227228,2.4700000286102295,3.3299999237060547,2.8850001096725464,-0.05030358819951464,-0.0018231519129966456,-0.026666636094426988,-0.013840899245549543,0.06343277374655654,0.043956001729189786,-2.204364238465236e-15,1.0,-4.408728476930472e-15,1.0,0.5877852522924727,0.8090169943749477,0.9510565162951533,0.3090169943749484,-0.9510565162951535,-0.30901699437494756,0.5877852522924734,-0.8090169943749472,0.8840675099433636,0.46735921715800227,0.8263541987239096,-0.5631507242749186,2,2,1,59,0,0,0,1,0.019699845848587482,-483.4823922053842,0.005778608261406928,-490.34832323947234
2024-02-29,490.67954545454546,10.550000190734863,2.9000000953674316,45.14835357666016,10.470135688781738,415.75,9.715930938720703,9.99099349975586,9.964374542236328,2.8499999046325684,2.9200000762939453,2.7300000190734863,9.89465822492327,0.24255362480045334,9.715930938720703,10.470135688781738,9.831279754638672,2.3137121520316755,5.6587791425549625,9.959938117436,0.22398823364108292,9.715930938720703,10.470135688781738,9.87120771408081,0.9341626247629212,0.011807677312802856,10.006965192159017,0.22349155699051193,9.698184967041016,10.470135688781738,9.99543046951294,0.35735381120205706,-0.9842287358553392,10.398018185297648,0.521107767741871,9.698184967041016,11.428418159484863,10.235001564025879,2.9100000517708913,0.04503966747833556,2.8499999046325684,3.009999990463257,2.9000000953674316,1.5685925997400028,4.026450966837016,2.8521429130009244,0.09548213320999059,2.630000114440918,3.009999990463257,2.890000104904175,-0.8901675120356474,0.6258708722502826,2.7603333711624147,0.12128434536416953,2.4700000286102295,3.009999990463257,2.7450000047683716,-0.061216377994660315,-0.27365593635450347,2.8898333509763083,0.20330182905534824,2.4700000286102295,3.3299999237060547,2.8850001096725464,0.04795741174664836,0.05075693857167085,0.05075693857167085,-0.006849308357518069,0.09848484095900978,0.062271089782497624,0.7818314824680284,0.6234898018587353,0.9749279121818246,-0.22252093395631004,0.7431448254773935,0.669130606358859,0.9945218953682736,-0.10452846326765125,-0.9702957262759965,-0.24192189559966779,0.4694715627858909,-0.8829475928589269,0.8919813464595485,0.45207220393230435,0.8064799463209448,-0.5912614448635781,3,2,1,60,0,1,0,-1,0.02133803168640876,-480.2094097657637,0.005910171153926928,-487.77954535917803
2024-03-01,472.3649857881137,10.729999542236328,2.930000066757202,44.79417037963867,10.195072174072266,412.25,10.470135688781738,9.902262687683104,9.99986743927002,2.9000000953674316,3.009999990463257,2.4700000286102295,9.936488151550293,0.26451258138722905,9.715930938720703,10.470135688781738,9.831279754638672,1.4352024720335357,0.9468391077530924,9.97261381149292,0.23177921658520287,9.715930938720703,10.470135688781738,9.87120771408081,0.741062316458439,-0.6088556603859834,10.013472016652425,0.22601754924342302,9.698184967041016,10.470135688781738,9.99543046951294,0.2747436177716221,-1.1102822075200676,10.384017276763917,0.5150520467446513,9.698184967041016,11.428418159484863,10.212818622589111,2.898571491241455,0.022946305075931813,2.8499999046325684,2.930000066757202,2.9000000953674316,-1.2442073980901156,2.738688735170669,2.866428630692618,0.09099506827576266,2.630000114440918,3.009999990463257,2.8950001001358032,-1.3177832742286517,2.1563007366691807,2.7756667057673137,0.11235906375037286,2.5799999237060547,3.009999990463257,2.75,0.21578636948994867,-1.005259263507401,2.8886666854222613,0.20286666515323215,2.4700000286102295,3.3299999237060547,2.8850001096725464,0.029569957455619855,0.01771477161386814,0.01952073224847628,-0.02657804782708395,0.07326009021479507,0.18623483110070915,0.9749279121818241,-0.2225209339563122,-0.433883739117554,-0.9009688679024211,0.8660254037844378,0.5000000000000014,0.8660254037844404,-0.499999999999997,-0.984807753012208,-0.17364817766693033,0.3420201433256687,-0.9396926207859084,0.8996308696522433,0.43665123195606403,0.7856498550787145,-0.6186714032625031,4,3,1,61,1,0,0,-1,0.021583039557985816,-462.16991361404143,0.006202830766274232,-469.4349857213565
2024-03-04,524.3481440559441,10.90999984741211,3.0399999618530273,45.33528518676758,10.008739471435549,417.5,10.195072174072266,9.840152740478516,10.15958023071289,2.930000066757202,2.9100000858306885,2.5799999237060547,9.96057197025844,0.262310576421695,9.715930938720703,10.470135688781738,9.831279754638672,1.1266749347412846,0.2706623513394133,9.963740825653076,0.22781477594064764,9.715930938720703,10.470135688781738,9.87120771408081,0.88417363649964,-0.23621170274948566,10.00844399134318,0.2243831791521721,9.698184967041016,10.470135688781738,9.99543046951294,0.3419236351880175,-1.0207974092771668,10.369517548878987,0.513163418746824,9.698184967041016,11.428418159484863,10.177326202392578,2.9171429021017894,0.05495822937507577,2.8499999046325684,3.0399999618530273,2.9000000953674316,1.6992892828867054,3.953972788648761,2.88714291368212,0.09505099157302728,2.630000114440918,3.0399999618530273,2.9000000953674316,-1.2662621141362957,3.1582882033374577,2.7910000403722126,0.11594108020503402,2.609999895095825,3.0399999618530273,2.75,0.3609175007722926,-0.8716330008249153,2.886500016848246,0.20053115495258048,2.4700000286102295,3.3299999237060547,2.8850001096725464,0.017132531923364613,-0.0122591805503528,-0.014847144847711657,0.04467349559724476,0.10545453158291895,0.1782945937014615,0.43388373911756023,-0.9009688679024181,-0.7818314824680327,0.6234898018587299,0.9510565162951534,0.30901699437494795,0.587785252292474,-0.8090169943749468,-0.9945218953682734,-0.10452846326765336,0.20791169081775912,-0.9781476007338057,0.9070138128026359,0.4211008707960896,0.7638886127905428,-0.6453481132295501,0,3,1,64,0,0,0,1,0.01908796585798097,-514.3394045845085,0.005797674686779632,-521.3081440940911
2024-03-05,513.9847374670185,10.829999923706056,2.799999952316284,44.636756896972656,9.849026679992676,413.5,10.008739471435549,9.831279754638672,10.345913887023926,3.0399999618530273,2.890000104904175,2.740000009536743,9.963107245309013,0.26113180879239173,9.715930938720703,10.470135688781738,9.849026679992676,1.1122908697480811,0.28321849954582223,9.971980094909668,0.22133903248495587,9.715930938720703,10.470135688781738,9.87564468383789,0.9174648429281791,-0.1028302370593206,9.991881084442138,0.21708158103273423,9.698184967041016,10.470135688781738,9.977684020996094,0.4733605950023989,-0.7915265341517106,10.353224849700927,0.5139110057260884,9.698184967041016,11.428418159484863,10.146270751953125,2.904285737446376,0.06863093981185352,2.799999952316284,3.0399999618530273,2.9000000953674316,0.700251655771053,1.8112710281503235,2.899285759244646,0.06860490857243544,2.759999990463257,3.0399999618530273,2.9000000953674316,0.09305796200368056,1.0320732324598394,2.793000038464864,0.11556095330632055,2.609999895095825,3.0399999618530273,2.7549999952316284,0.31282603418116617,-0.8671162180620904,2.881833350658417,0.19922759293528955,2.4700000286102295,3.3299999237060547,2.875,0.0018051490545398785,0.011850585411257608,-0.04802738670137752,-0.031141920180267513,0.06463871881294758,0.02189778925938235,-0.433883739117556,-0.9009688679024201,0.7818314824680269,0.6234898018587373,0.9945218953682732,0.10452846326765461,0.20791169081776156,-0.9781476007338051,-0.9993908270190957,-0.03489949670250165,0.06975647374412665,-0.9975640502598242,0.9141279881853337,0.40542572835999735,0.741222010848596,-0.6712599575675313,1,3,1,65,0,0,0,-1,0.019162099498381838,-504.1357107870258,0.005447632484410017,-511.1847375147022
2024-03-06,635.8634812206573,10.800000190734863,2.9000000953674316,44.863040924072266,9.795787811279297,418.0,9.849026679992676,9.769168853759766,10.390278816223145,2.799999952316284,2.9000000953674316,2.7100000381469727,9.966909953526088,0.2584600604959883,9.715930938720703,10.470135688781738,9.849026679992676,1.1179208628824617,0.34846811008115264,9.97007874080113,0.22272572355799433,9.715930938720703,10.470135688781738,9.87564468383789,0.9137946047055407,-0.1348395644038871,9.972064717610676,0.20669490817544278,9.698184967041016,10.470135688781738,9.959938526153564,0.5708505185373428,-0.5734792406385942,10.33618966738383,0.5151645963523194,9.698184967041016,11.428418159484863,10.13296127319336,2.904285737446376,0.06863093981185352,2.799999952316284,3.0399999618530273,2.9000000953674316,0.7002516557710525,1.8112710281503208,2.909285766737802,0.056753131767733736,2.799999952316284,3.0399999618530273,2.9000000953674316,0.7510292296935587,1.7640081811136898,2.799333373705546,0.11604405714184947,2.609999895095825,3.0399999618530273,2.759999990463257,0.17666216196987214,-0.9545150829163154,2.8766666849454245,0.1946164183279547,2.4700000286102295,3.3299999237060547,2.875,0.0027247924483653208,-0.0027100239428168305,-0.05721607816872276,0.0,0.050724675865189583,0.07011072123466677,-0.9749279121818246,-0.22252093395630979,0.4338837391175496,-0.9009688679024233,0.9945218953682733,-0.10452846326765351,-0.2079116908177594,-0.9781476007338056,-0.9993908270190958,0.03489949670250128,-0.06975647374412591,-0.9975640502598242,0.9209712877166346,0.38963044953078796,0.717676913675962,-0.6963762255968722,2,3,1,66,0,0,1,1,0.01540548891481309,-626.067693409378,0.0045607275476810625,-632.9634811252898
